minimum_no_ppb,operator,count,median_lr,p90_lr,max_lr
0.0,>,76,2.0314182088800683,4.799467070642377,5.569157261609616
0.05,>,76,2.0314182088800683,4.799467070642377,5.569157261609616
0.1,>,56,1.6119964778437823,2.6109045646858156,2.9837882111552845
0.2,>,44,1.479865888656465,2.0785674913738594,2.3295133476254284
0.5,>,23,1.1245205779322018,1.4833274171345623,1.545280818028379
1.0,>,11,0.977669778066985,1.0435334398410174,1.0985001237324499
