year,month,count,median_lr,sza_extrapolated_rows
2025,1,0,,0
2025,2,0,,0
2025,3,0,,0
2025,4,0,,0
2025,5,14,1.5107139377786267,3
2025,6,10,1.4293086015658876,2
2025,7,1,1.0435334398410174,0
2025,8,11,1.3632357586051633,0
2025,9,8,1.6934216414051346,0
2025,10,0,,0
2025,11,0,,0
2025,12,0,,0
