minimum_no_ppb,operator,count,median_lr,p90_lr,max_lr
0.0,>,632,1.518963491525316,4.200951383117304,7.286111451857133
0.05,>,632,1.518963491525316,4.200951383117304,7.286111451857133
0.1,>,506,1.276167355626239,2.5071119436414535,3.7670619810033137
0.2,>,403,1.086089399754015,1.9244687870886465,2.7242451261266583
0.5,>,246,0.9162190573912644,1.2806369268138125,1.823225885538883
1.0,>,156,0.7939209575910707,1.0559272124173205,1.1912554905290456
