year,month,count,median_lr,sza_extrapolated_rows
2024,1,26,0.5236517928536332,26
2024,2,61,0.5013362613946433,56
2024,3,97,0.4335753300369708,35
2024,4,144,0.3152522682127552,12
2024,5,112,0.2961531248108106,7
2024,6,24,1.5033846789041823,5
2024,7,68,1.3458911202202772,4
2024,8,61,1.5654015579569511,2
2024,9,63,1.1423438088615956,16
2024,10,74,0.9295401871446145,52
2024,11,28,0.5787607784384176,28
2024,12,0,,0
