oxidative_regime,variable,unit,regime_rows,valid_count,missing_count,mean,std,min,p25,median,p75,max
LR < 1,NO,ppb,562,562,0,3.0265124555160146,3.0829225908657856,0.4,1.6,2.0,3.3,31.6
LR < 1,NO2,ppb,562,562,0,5.349644128113879,4.262012472853904,1.2,2.4,3.8499999999999996,7.175,27.3
LR < 1,O3,ppm,562,562,0,0.044058718861209954,0.009406928674661063,0.015,0.039,0.044,0.05,0.085
LR < 1,NOx,ppb,562,562,0,8.376156583629893,7.037495769032158,2.5999999999999996,4.0,5.9,10.4,58.900000000000006
LR < 1,J,s^-1,562,562,0,0.0038533641890185397,0.0008314472237175646,0.002212810388274239,0.003211384343928599,0.0036834444102575147,0.004421090852205323,0.006052620714863041
LR < 1,UV,W m^-2,562,562,0,16.177935943060497,4.194089382678925,11.0,12.0,16.0,19.0,28.0
LR < 1,SR_W_m2,W m^-2,562,562,0,627.3890628706998,176.68013902405983,34.86666666666667,495.1066666666667,620.6266666666667,760.0933333333335,1004.16
LR < 1,solar_zenith_angle_deg,degrees,562,562,0,44.96843036429547,11.612055436947543,19.311161326019516,36.170779233026416,45.779374669202284,54.2815910264826,68.27517562823975
LR < 1,Temp,degrees F,562,562,0,60.094306049822066,14.29533173489244,31.0,49.0,59.0,71.75,100.0
LR < 1,clearing_index,dimensionless,562,0,562,,,,,,,
1 <= LR < 1.5,NO,ppb,100,100,0,0.9619999999999999,0.6023153977641933,0.3,0.575,0.8,1.1,3.9
1 <= LR < 1.5,NO2,ppb,100,100,0,5.8,3.1574507042066307,2.4,3.8,5.55,6.725,24.8
1 <= LR < 1.5,O3,ppm,100,100,0,0.05242000000000001,0.011835727457340527,0.03,0.045,0.0495,0.059,0.083
1 <= LR < 1.5,NOx,ppb,100,100,0,6.762000000000001,3.6737611806051325,2.6999999999999997,4.475,6.5,7.800000000000001,28.400000000000002
1 <= LR < 1.5,J,s^-1,100,100,0,0.004251657487911789,0.0006747877099101386,0.002237878179468903,0.003784327302626666,0.0043141375037387564,0.004733484450418074,0.005580445890604265
1 <= LR < 1.5,UV,W m^-2,100,100,0,18.49,3.6913631108523606,11.0,15.75,18.0,21.0,27.0
1 <= LR < 1.5,SR_W_m2,W m^-2,100,100,0,702.4238666666665,128.65773752858905,355.64000000000004,613.6533333333334,704.3066666666667,796.7033333333333,948.3733333333334
1 <= LR < 1.5,solar_zenith_angle_deg,degrees,100,100,0,40.28385045638262,10.04409621301272,18.308622955185093,35.564710249508906,41.71096403226011,48.460610925109144,57.80369522745607
1 <= LR < 1.5,Temp,degrees F,100,100,0,83.85,10.368342454439151,55.0,77.0,85.0,92.0,103.0
1 <= LR < 1.5,clearing_index,dimensionless,100,0,100,,,,,,,
1.5 <= LR < 2,NO,ppb,63,63,0,0.49523809523809514,0.15390463262910722,0.3,0.4,0.5,0.6,0.8
1.5 <= LR < 2,NO2,ppb,63,63,0,4.6079365079365076,1.3946096213291153,2.5,3.55,4.5,5.35,8.1
1.5 <= LR < 2,O3,ppm,63,63,0,0.05449206349206348,0.012297223678109304,0.033,0.046,0.052,0.0615,0.086
1.5 <= LR < 2,NOx,ppb,63,63,0,5.103174603174602,1.455575294089575,2.8,4.05,4.9,5.8,8.6
1.5 <= LR < 2,J,s^-1,63,63,0,0.004273069543409044,0.0008634974663468909,0.0022505840760663485,0.0036262697059183087,0.004557305048758936,0.00492858307540253,0.005539486311338061
1.5 <= LR < 2,UV,W m^-2,63,63,0,18.88888888888889,4.450846643313373,11.0,15.0,19.0,22.0,27.0
1.5 <= LR < 2,SR_W_m2,W m^-2,63,63,0,682.5011640211641,198.4546345840039,34.86666666666667,599.7066666666667,739.1733333333334,826.34,969.2933333333333
1.5 <= LR < 2,solar_zenith_angle_deg,degrees,63,63,0,38.41387778185831,9.578651952779348,18.308201523728005,33.51356951965437,38.149661968121826,44.8555484375204,56.69205774993707
1.5 <= LR < 2,Temp,degrees F,63,63,0,83.68253968253968,9.282007216228049,56.0,78.0,85.0,89.0,104.0
1.5 <= LR < 2,clearing_index,dimensionless,63,0,63,,,,,,,
LR >= 2,NO,ppb,33,33,0,0.3363636363636364,0.05487589303477109,0.3,0.3,0.3,0.4,0.5
LR >= 2,NO2,ppb,33,33,0,4.251515151515151,1.446141679634384,2.6,3.3,3.8,4.6,7.6
LR >= 2,O3,ppm,33,33,0,0.05775757575757576,0.012155323687150166,0.04,0.049,0.056,0.06,0.089
LR >= 2,NOx,ppb,33,33,0,4.587878787878788,1.4655966310170359,2.9,3.5999999999999996,4.1,5.0,7.9
LR >= 2,J,s^-1,33,33,0,0.00486417176322542,0.0005405574619080129,0.003606434063029704,0.004368912842336049,0.005023477127285295,0.005221000480625786,0.005674820866388008
LR >= 2,UV,W m^-2,33,33,0,22.242424242424242,2.7160438029225413,16.0,20.0,23.0,24.0,27.0
LR >= 2,SR_W_m2,W m^-2,33,33,0,803.6238383838385,80.23179688028763,634.5733333333334,760.0933333333335,815.88,857.72,941.4000000000001
LR >= 2,solar_zenith_angle_deg,degrees,33,33,0,33.686227354645666,8.189348504231928,18.4583901111361,26.609368670546687,35.81345374410471,38.55907071225676,49.13174696172849
LR >= 2,Temp,degrees F,33,33,0,85.75757575757575,8.336779590429025,65.0,82.0,87.0,92.0,101.0
LR >= 2,clearing_index,dimensionless,33,0,33,,,,,,,
