minimum_no_ppb,operator,count,median_lr,p90_lr,max_lr
0.0,>,50,2.084117929289672,4.303375801224845,5.034923924214826
0.05,>,50,2.084117929289672,4.303375801224845,5.034923924214826
0.1,>,36,1.5492245799518571,2.7618086516109894,2.9837882111552845
0.2,>,27,1.3991004410366992,1.8832596654783504,2.2101333450120926
0.5,>,15,1.1195453066321712,1.5119798931025465,1.545280818028379
1.0,>,5,0.977669778066985,1.0839773764116563,1.0985001237324499
