shift_hours,paired_rows,uv_sr_pearson_r,analysis_rows,median_lr,absolute_distance_from_unity,selected_by_uv_sr_correlation
-3,234,0.44685327816943166,94,1.9458013177689768,0.9458013177689768,False
-2,233,0.6952384410185593,89,1.8568608270031262,0.8568608270031262,False
-1,232,0.9004950909688353,83,1.9956721507291337,0.9956721507291337,False
0,231,0.9946436097148282,74,1.983423848396822,0.9834238483968221,True
1,230,0.888998116434918,67,2.311475607515898,1.3114756075158982,False
2,229,0.6726034292484141,56,2.961367726473746,1.9613677264737461,False
3,228,0.40458034375804247,41,3.3931100728241734,2.3931100728241734,False
